,Game-title,Genre
0,Alien Swarm,Shooter
1,Cities Skylines,Simulator
2,Counter-Strike,Shooter
3,Counter-Strike Source,Shooter
4,Day of Defeat,Shooter
5,Deathmatch Classic,Shooter
6,Deus Ex Human Revolution,Shooter
7,Dota 2,Strategy
8,Half-Life,Shooter
9,Half-Life 2,Shooter
10,Half-Life 2 Deathmatch,Shooter
11,Half-Life 2 Episode One,Shooter
12,Half-Life 2 Episode Two,Shooter
13,Half-Life 2 Lost Coast,Shooter
14,Half-Life Blue Shift,Shooter
15,Half-Life Opposing Force,Shooter
16,Portal,Real Time Strategy (RTS)
17,Portal 2,Shooter
18,Ricochet,Genre not found
19,Team Fortress 2,Shooter
20,Team Fortress Classic,Shooter
21,Age of Empires II HD Edition,Real Time Strategy (RTS)
22,Arma 2,Shooter
23,Arma 2 Operation Arrowhead,Shooter
24,Arma 2 Operation Arrowhead Beta (Obsolete),Genre not found
25,Banished,Genre not found
26,Call of Duty Black Ops,Shooter
27,Call of Duty Black Ops - Multiplayer,Genre not found
28,Call of Duty Modern Warfare 2,Shooter
29,Call of Duty Modern Warfare 2 - Multiplayer,Genre not found
30,Call of Duty Modern Warfare 3,Shooter
31,Call of Duty Modern Warfare 3 - Multiplayer,Genre not found
32,Call of Duty World at War,Shooter
33,Counter-Strike Global Offensive,Shooter
34,Rise of Nations Extended Edition,Real Time Strategy (RTS)
35,The Stanley Parable,Adventure
36,Thief,Shooter
37,Thief - Ghost,Genre not found
38,Thief - Opportunist,Genre not found
39,Thief - Predator,Genre not found
40,Thief - The Bank Heist,Shooter
41,Thief 2,Shooter
42,Thief Deadly Shadows,Shooter
43,Thief Gold,Simulator
44,Total War ATTILA,Strategy
45,Worms Armageddon,Strategy
46,Age of Empires II HD The Forgotten,Real Time Strategy (RTS)
47,Alan Wake,Shooter
48,Alan Wake's American Nightmare,Shooter
49,Audiosurf,Music
50,Back to the Future Ep 1 - It's About Time,Point-and-click
51,Back to the Future Ep 2 - Get Tannen!,Point-and-click
52,Back to the Future Ep 3 - Citizen Brown,Point-and-click
53,Back to the Future Ep 4 - Double Visions,Point-and-click
54,Back to the Future Ep 5 - OUTATIME,Point-and-click
55,Borderlands 2,Shooter
56,Deus Ex Game of the Year Edition,Shooter
57,Deus Ex Human Revolution - The Missing Link,Shooter
58,Deus Ex Invisible War,Shooter
59,DiRT 3,Racing
60,DiRT 3 Complete Edition,Racing
61,DiRT Showdown,Racing
62,FTL Faster Than Light,Role-playing (RPG)
63,Far Cry 3,Shooter
64,Hector Ep 1,Point-and-click
65,Hector Ep 2,Point-and-click
66,Hector Ep 3,Point-and-click
67,Killer is Dead,Hack and slash/Beat 'em up
68,L.A. Noire,Strategy
69,Left 4 Dead 2,Shooter
70,Max Payne 3,Shooter
71,Operation Flashpoint Dragon Rising,Shooter
72,Operation Flashpoint Red River,Shooter
73,Overlord,Role-playing (RPG)
74,Overlord II,Role-playing (RPG)
75,Overlord Raising Hell,Role-playing (RPG)
76,Poker Night at the Inventory,Sport
77,Puzzle Agent,Point-and-click
78,Puzzle Agent 2,Point-and-click
79,Rise of the Argonauts,Role-playing (RPG)
80,Sam & Max 301 The Penal Zone,Point-and-click
81,Sam & Max 302 The Tomb of Sammun-Mak,Point-and-click
82,Sam & Max 303 They Stole Max's Brain!,Point-and-click
83,Sam & Max 304 Beyond the Alley of the Dolls,Point-and-click
84,Sam & Max 305 The City that Dares not Sleep,Point-and-click
85,Serious Sam 2,Shooter
86,Serious Sam 3 BFE,Shooter
87,Serious Sam Classic The First Encounter,Shooter
88,Serious Sam Classic The Second Encounter,Shooter
89,Serious Sam Classics Revolution,Shooter
90,Serious Sam Double D XXL,Shooter
91,Serious Sam HD The First Encounter,Shooter
92,Serious Sam The Random Encounter,Shooter
93,Skyrim High Resolution Texture Pack,Genre not found
94,The Elder Scrolls V Skyrim,Role-playing (RPG)
95,The Elder Scrolls V Skyrim - Dawnguard,Role-playing (RPG)
96,The Elder Scrolls V Skyrim - Dragonborn,Role-playing (RPG)
97,The Elder Scrolls V Skyrim - Hearthfire,Role-playing (RPG)
98,The Walking Dead,Point-and-click
99,Tom Clancy's Ghost Recon Advanced Warfighter,Genre not found
100,Tom Clancy's Ghost Recon Advanced Warfighter 2,Genre not found
101,Tom Clancy's Ghost Recon Future Soldier,Shooter
102,Tom Clancy's Splinter Cell Conviction,Shooter
103,Torchlight II,Role-playing (RPG)
104,Tropico 4,Real Time Strategy (RTS)
105,Universe Sandbox,Simulator
106,Wallace & Gromit Ep 1 Fright of the Bumblebees,Genre not found
107,Wallace & Gromit Ep 2 The Last Resort,Point-and-click
108,Wallace & Gromit Ep 3 Muzzled!,Point-and-click
109,Wallace & Gromit Ep 4 The Bogey Man,Point-and-click
110,XCOM Enemy Unknown,Role-playing (RPG)
111,Counter-Strike Condition Zero,Shooter
112,Counter-Strike Condition Zero Deleted Scenes,Shooter
113,Call of Duty Modern Warfare 2 - Resurgence Pack,Genre not found
114,Call of Duty Modern Warfare 2 Stimulus Package,Shooter
115,Half-Life Deathmatch Source,Shooter
116,Insurgency Modern Infantry Combat,Shooter
117,Worms Reloaded,Platform
118,7 Days to Die,Shooter
119,ARK Survival Evolved,Shooter
120,Age of Empires III Complete Collection,Real Time Strategy (RTS)
121,Age of Wonders III,Role-playing (RPG)
122,Alien Breed 2 Assault,Shooter
123,Alpha Protocol,Shooter
124,Amnesia A Machine for Pigs,Puzzle
125,Amnesia The Dark Descent,Puzzle
126,Aquaria,Genre not found
127,Armikrog,Point-and-click
128,Arx Fatalis,Puzzle
129,Awesomenauts,Platform
130,Baldur's Gate II Enhanced Edition,Role-playing (RPG)
131,Batman Arkham Origins,Fighting
132,BattleBlock Theater,Platform
133,Battlefield Bad Company 2,Shooter
134,BioShock Infinite,Shooter
135,BioShock Infinite - Season Pass,Genre not found
136,BioShock Infinite Burial at Sea - Episode 1,Shooter
137,BioShock Infinite Burial at Sea - Episode 2,Shooter
138,Borderlands,Shooter
139,Broken Age,Point-and-click
140,Brothers - A Tale of Two Sons,Puzzle
141,Brtal Legend,Genre not found
142,Bulletstorm,Adventure
143,Call of Juarez Gunslinger,Shooter
144,Castle Crashers,Puzzle
145,Cave Story+,Shooter
146,Child of Light,Platform
147,Chivalry Medieval Warfare,Fighting
148,Company of Heroes,Real Time Strategy (RTS)
149,Company of Heroes (New Steam Version),Genre not found
150,Company of Heroes Opposing Fronts,Real Time Strategy (RTS)
151,Company of Heroes Tales of Valor,Real Time Strategy (RTS)
152,Crusader Kings II,Role-playing (RPG)
153,Crysis 2 Maximum Edition,Shooter
154,DARK SOULS II,Role-playing (RPG)
155,DARK SOULS II - Season Pass,Genre not found
156,DARK SOULS II Crown of the Old Iron King,Role-playing (RPG)
157,DARK SOULS II Scholar of the First Sin,Role-playing (RPG)
158,Dark Souls Prepare to Die Edition,Role-playing (RPG)
159,Darkest Dungeon,Role-playing (RPG)
160,Darksiders,Point-and-click
161,Darksiders II,Role-playing (RPG)
162,Dead Island,Shooter
163,Deadlight,Platform
164,Dear Esther,Adventure
165,Dishonored,Puzzle
166,Divinity Original Sin,Role-playing (RPG)
167,Divinity Original Sin Enhanced Edition,Role-playing (RPG)
168,DmC Devil May Cry,Puzzle
169,Don't Starve,Simulator
170,Don't Starve Together Beta,Genre not found
171,Dragon Age Origins - Ultimate Edition,Role-playing (RPG)
172,Driver San Francisco,Racing
173,DuckTales Remastered,Platform
174,Dungeon Defenders,Role-playing (RPG)
175,Dungeons of Dredmor,Role-playing (RPG)
176,Dying Light,Shooter
177,Endless Legend,Strategy
178,Euro Truck Simulator 2,Simulator
179,F.E.A.R. 3,Shooter
180,Fallout,Role-playing (RPG)
181,Fallout 4,Shooter
182,Fallout New Vegas,Shooter
183,Fallout New Vegas Courier's Stash,Shooter
184,Fallout New Vegas Dead Money,Shooter
185,Fallout New Vegas Honest Hearts,Shooter
186,Galactic Civilizations II Ultimate Edition,Strategy
187,Garry's Mod,Simulator
188,Gish,Platform
189,Goat Simulator,Simulator
190,Gone Home,Point-and-click
191,Grim Fandango Remastered,Point-and-click
192,Guacamelee! Gold Edition,Platform
193,Gunpoint,Platform
194,Guns of Icarus Online,Shooter
195,Hardland,Role-playing (RPG)
196,Hitman Absolution,Shooter
197,Hitman Sniper Challenge,Shooter
198,Hotline Miami,Shooter
199,Insanely Twisted Shadow Planet,Shooter
200,Insurgency,Shooter
201,Jazzpunk,Puzzle
202,Jet Set Radio,Platform
203,Just Cause 2,Shooter
204,Just Cause 2 Multiplayer Mod,Adventure
205,Killing Floor 2,Shooter
206,Kingdoms of Amalur Reckoning,Role-playing (RPG)
207,LEGO Batman 2,Platform
208,LEGO MARVEL Super Heroes,Puzzle
209,Lara Croft and the Guardian of Light,Shooter
210,Left 4 Dead,Genre not found
211,Legend of Grimrock,Puzzle
212,Legend of Grimrock 2,Puzzle
213,Little Inferno,Puzzle
214,Lost Planet Extreme Condition,Shooter
215,Lugaru HD ,Fighting
216,METAL GEAR SOLID V GROUND ZEROES,Shooter
217,METAL GEAR SOLID V THE PHANTOM PAIN,Shooter
218,Machinarium,Point-and-click
219,Magicka,Role-playing (RPG)
220,Mark of the Ninja,Platform
221,Mass Effect 2,Shooter
222,Metro 2033,Shooter
223,Metro Last Light,Shooter
224,Might & Magic Heroes VI,Role-playing (RPG)
225,Monaco,Strategy
226,Monkey Island 2 Special Edition,Point-and-click
227,Mortal Kombat X,Fighting
228,Natural Selection 2,Shooter
229,Nexuiz,Shooter
230,Nexuiz Beta,Genre not found
231,Nexuiz STUPID Mode,Genre not found
232,NiGHTS into Dreams...,Genre not found
233,Nidhogg,Fighting
234,ORION Prelude,Shooter
235,Octodad Dadliest Catch,Platform
236,OlliOlli,Platform
237,Orcs Must Die! 2,Shooter
238,Outlast,Adventure
239,PAYDAY 2,Shooter
240,PROTOTYPE 2,Platform
241,"Papers, Please",Point-and-click
242,Patch testing for Chivalry,Genre not found
243,Penumbra Overture,Puzzle
244,Pillars of Eternity,Role-playing (RPG)
245,Prison Architect,Simulator
246,Prototype,Visual Novel
247,Prototype 2 RADNET Access Pack,Genre not found
248,RAGE,Shooter
249,Red Faction Armageddon,Shooter
250,Red Faction Guerrilla Steam Edition,Shooter
251,Risk of Rain,Shooter
252,Rocket League,Racing
253,Rogue Legacy,Platform
254,Rust,Shooter
255,STAR WARS Knights of the Old Republic II The Sith Lords,Role-playing (RPG)
256,Saints Row IV,Shooter
257,Saints Row The Third,Shooter
258,Samorost 2,Point-and-click
259,Sanctum,Turn-based strategy (TBS)
260,Sanctum 2,Shooter
261,Satellite Reign,Real Time Strategy (RTS)
262,Savage Lands,Role-playing (RPG)
263,Scribblenauts Unlimited,Platform
264,Serious Sam HD The Second Encounter,Shooter
265,Shadow Warrior,Fighting
266,Shadowrun Dragonfall,Role-playing (RPG)
267,Shadowrun Dragonfall - Director's Cut,Role-playing (RPG)
268,Shadowrun Hong Kong,Role-playing (RPG)
269,Shadowrun Returns,Role-playing (RPG)
270,Sid Meier's Civilization Beyond Earth,Simulator
271,Sid Meier's Civilization V,Simulator
