,Game-title,Publisher
0,Alien Swarm,Valve
1,Cities: Skylines - Green Cities,Paradox Interactive
2,Deus Ex: Human Revolution,Square Enix
3,Portal 2: In Motion,Publisher not found
4,Age of Empires II: HD Edition,Microsoft Studios
5,Call of Duty: Black Ops III,Activision
6,Call of Duty: Modern Warfare 2,Activision
7,Call of Duty: Modern Warfare III,Activision
8,Call of Duty: World at War,Activision
9,Counter-Strike,Microsoft Game Studios
10,Counter-Strike Global Offensive,Publisher not found
11,Counter-Strike: Source,Valve
12,Rise of Nations: Extended Edition,Microsoft Studios
13,Thief: Deadly Shadows,Eidos Interactive
14,Total War: Attila - Celts Culture Pack,Sega Games
15,Audiosurf 2,Dylan Fitterer
16,Far Cry 3,Ubisoft Entertainment
17,Killer Is Dead,XSEED Games
18,Left 4 Dead 2,Valve
19,The Elder Scrolls V: Skyrim,Bethesda Softworks
20,Torchlight II,Runic Games
21,XCOM: Enemy Unknown,2K Games
22,Counter-Strike: Condition Zero,Sierra Entertainment
23,Half-Life 2: Episode One,EA Games
24,Half-Life 2: Episode Two,Valve
25,Worms Reloaded,Team17
26,7 Days to Die,The Fun Pimps Entertainment LLC
27,Ark: Survival Evolved,Studio Wildcard
28,Amnesia: The Dark Descent,Frictional Games
29,Armikrog,Versus Evil
30,Batman: Arkham Origins,Warner Bros. Interactive Entertainment
31,BioShock Infinite,2K Games
32,Borderlands,2K Games
33,Borderlands 2,Publisher not found
34,Broken Age,Nordic Games Publishing
35,Brothers: A Tale of Two Sons,505 Games
36,Bulletstorm: Duke Nukem's Bulletstorm Tour,Publisher not found
37,Castle Crashers,The Behemoth
38,Chivalry: Medieval Warfare,Torn Banner Studios
39,Dark Souls II,FromSoftware
40,Dark Souls II: Scholar of the First Sin,Bandai Namco Entertainment
41,Dark Souls Prepare to Die Edition,Publisher not found
42,Darksiders II,THQ
43,Dead Island,Publisher not found
44,Dishonored,Publisher not found
45,Divinity: Original Sin II - Divine Edition,Publisher not found
46,DmC: Devil May Cry,Capcom
47,Don't Starve,Klei Entertainment
48,Dungeons of Dredmor,Publisher not found
49,Dying Light,WB Games
50,Endless Legend: Monstrous Tales,Publisher not found
51,FTL: Faster Than Light,Subset Games
52,Fallout 4,Bethesda Softworks
53,Fallout: New Vegas,Bandai Namco Entertainment
54,Galactic Civilizations II: Ultimate Edition,Publisher not found
55,Garry's Mod,Valve
56,Gone Home,Midnight City
57,Hitman: Absolution,Square Enix
58,Hotline Miami,Devolver Digital
59,Killing Floor 2,Tripwire Interactive
60,LEGO Batman 2: DC Super Heroes,Feral Interactive
61,LEGO Marvel Super Heroes,WB Games
62,Legend of Grimrock,Almost Human Ltd.
63,Little Inferno,Experimental Gameplay Group
64,Metal Gear Solid V: Ground Zeroes,Konami
65,Metal Gear Solid V: The Phantom Pain,Konami
66,Machinarium,Amanita Design
67,Magicka,Publisher not found
68,Mark of the Ninja,Microsoft Studios
69,Mass Effect 2: Firewalker Pack,"Electronic Arts, Inc."
70,Max Payne 3,Rockstar Games
71,Metro 2033,THQ
72,Metro: Last Light,Deep Silver
73,Mortal Kombat X,WB Games
74,Natural Selection 2,Unknown Worlds Entertainment
75,Orcs Must Die! 2,Robot Entertainment
76,Payday 2,505 Games
77,Pillars of Eternity,Obsidian Entertainment
78,Prison Architect,Paradox Interactive
79,Rage,Aspyr Media
80,Rocket League,Psyonix
81,Rogue Legacy,Cellar Door Games
82,Rust,Publisher not found
83,Star Wars: Knights of the Old Republic II - The Sith Lords,LucasArts
84,Saints Row: The Third,Square Enix
85,Sanctum,ARVI VR
86,Serious Sam 3: BFE,Devolver Digital
87,Shadowrun: Dragonfall - Director's Cut,Harebrained Schemes
88,Shadowrun Returns,Harebrained Schemes
89,Sid Meier's Civilization: Beyond Earth,2K Games
90,Sid Meier's Civilization V,2K Games
91,Sonic Generations,Sega
92,Starbound,Chucklefish Games
93,State of Decay,Microsoft Studios
94,Team Fortress 2: War! Update,Valve
95,Terraria,Headup Games
96,Block Slime Cave,Gotcha Gotcha Games
97,Märchen Forest: Mylne and the Forest Gift,Primary Orbit
98,The Long Dark,Hinterland Studio Inc.
99,The Walking Dead,Telltale Games
100,The Witcher 2 Assassins of Kings Enhanced Edition,Publisher not found
101,The Witcher 3: Wild Hunt + Dark Souls III,Bandai Namco Entertainment
102,The Wolf Among Us: Episode 5 - Cry Wolf,Telltale Games
103,Thief: Deadly Shadows,Eidos Interactive
104,Tom Clancy's Splinter Cell: Blacklist,Ubisoft Entertainment
105,Tomb Raider: The Angel of Darkness,Eidos Interactive
106,Torchlight II,Runic Games
107,Transformers: Fall of Cybertron,Activision
108,Tropico 4,FX Interactive
109,Unturned,Smartly Dressed Games
110,Warhammer: End Times - Vermintide,Fatshark
111,Wasteland 2,inXile Entertainment
112,Half-Life 2: MMod - Half-Life 2: Update,Gunship_Mark_II
113,Alan Wake II,Epic Games
114,Alan Wake's American Nightmare,Nordic Games Publishing
115,Brink of Consciousness: Dorian Gray Syndrome,Plug In Digital
116,Battlefield: Bad Company 2,Electronic Arts
117,Call of Duty: Advanced Warfare,Activision
118,Call of Duty: Black Ops II,Activision
119,Call of Duty: Ghosts,Activision
120,Day of Defeat: Source,Valve
121,DayZ,Bohemia Interactive Studio
122,Duke Nukem Forever,Publisher not found
123,Eufloria,Omni Systems
124,F.E.A.R. 3,WB Games
125,Front Mission Evolved,Square Enix
126,Half-Life: Source,Valve
127,I am alive,Publisher not found
128,Killing Floor,Tripwire Interactive
129,Mass Effect,Electronic Arts
130,Operation Flashpoint: Red River,Codemasters
131,Osmos+,Publisher not found
132,Warcraft II: Beyond the Dark Portal,Blizzard Entertainment
133,Red Faction: Guerrilla - Steam Edition,THQ Nordic
134,Serious Sam HD: The First Encounter,Devolver Digital
135,Sniper Elite V2,Rebellion Developments
136,Spec Ops: The Line,2K Games
137,Synergy,Goblinz Publishing
138,Wolfenstein 3D,id Software
139,F1 2014,Codemasters
140,ArmA 2: Operation Arrowhead,Meridian4
141,Brothers in Arms: Road to Hill 30,Publisher not found
142,Company of Heroes: Tales of Valor,THQ
143,Might & Magic: Heroes VI,Publisher not found
144,Ares,TimeTop
145,Age of Chivalry,Steam
146,Assassin's Creed II,Ubisoft Entertainment
147,Assassin's Creed III,Ubisoft Entertainment
148,Assassin's Creed Revelations,Ubisoft Entertainment
149,Awesomenauts,Ronimo Games
150,Bit.Trip Runner,Aksys Games
151,Blocks That Matter,Swing Swing Submarine
152,Braid,Number None Inc.
153,Brothers in Arms: Hell's Highway,Publisher not found
154,Burnout Paradise: The Ultimate Box,Electronic Arts
155,Crysis 2: Maximum Edition,Electronic Arts
156,Crysis Warhead,Electronic Arts
157,DeathSpank,Electronic Arts
158,Defense Grid: The Awakening,Microsoft
159,Deus Ex: Human Revolution - The Missing Link,Square Enix
160,Dota 2,Valve
161,Empire: Total War,Sega
162,Europa Universalis III,Paradox Interactive
163,Faerie Solitaire,Subsoap
164,Frozen Synapse,Publisher not found
165,Galcon Fusion,"Hassey Enterprises, Inc"
166,Gratuitous Space Battles,Positech Games
167,Half-Life 2: Deathmatch,Valve
168,Half-Life: Blue Shift,supadupaplex
169,Just Cause 2,Eidos Interactive
170,King's Bounty: Armored Princess,Focus Multimedia
171,King's Bounty: Crossworlds,Fulqrum Publishing
172,McPixel 3: McPixel Visits Grandma,Devolver Digital
173,Mirror's Edge,Publisher not found
174,Mount & Blade: Warband,Paradox Interactive
175,Napoleon: Total War,Sega
176,Orcs Must Die!,Microsoft Game Studios
177,Payday: The Heist,Sony Online Entertainment
178,Plain Sight,Beatnik Games
179,Psychonauts,THQ
180,Renegade Ops,Sega
181,Titan Revenge,Publisher not found
182,Rising Storm/Red Orchestra 2 Multiplayer,Tripwire Interactive
183,Rock of Ages,Atlus
184,S.T.A.L.K.E.R.: Shadow of Chernobyl,THQ
185,Serious Sam HD: The Second Encounter,Devolver Digital
186,SpaceChem,Zachtronics Industries
187,Stacks on Stacks (On Stacks),Herringbone Games
188,Steamworld Dig 2 + Steamworld Dig,Publisher not found
189,Super Meat Boy Handheld!,Team Meat
190,Tales of Maj'Eyal,Netcore Games
191,Dragon Ball Z: Super Butouden 3,Bandai
192,The Binding of Isaac,Edmund McMillen
193,The Matrix: Path of Neo,"Atari, Inc."
194,The Secret of Monkey Island: Special Edition,LucasArts
195,The Stanley Parable,Galactic Cafe
196,The Typing of the Dead: Overkill,Sega
197,Titan Quest: Immortal Throne,THQ
198,Total War: Shogun 2 - Saints and Heroes Unit Pack,Sega
199,VVVVVV,"Nicalis, Inc."
200,Vampire: The Masquerade - Bloodlines,Activision
201,Zeno Clash II,Atlus
202,Day of Defeat,Activision
203,Half-Life 2: MMod - Half-Life 2: Update,Gunship_Mark_II
204,Half-Life: Opposing Force,Sierra Entertainment
205,Sid Meier's Civilization III: Complete,2K Games
206,Sniper Elite,MC2 France
207,War Inc. Battlezone,Online Warmongers Group Inc.
208,Grand Theft Auto IV,Rockstar Games
209,Kingdom Rush,Armor Games
210,L.A. Noire,Rockstar Games
211,Sleeping Dogs,Bandai Namco Entertainment
212,Sometimes Always Monsters,Vagabond Dog
213,Blood Bowl: Legendary Edition,Focus Entertainment
214,Botanicula,Amanita Design
215,Broforce,Devolver Digital
216,Car Mechanic Simulator 2014,PlayWay S.A.
217,CastleStorm,Microsoft Studios
218,Cossacks II: Napoleonic Wars,cdv Software Entertainment
219,Elven Legacy,Paradox Interactive
220,FlatOut 2,Konami
221,Game Dev Tycoon,Greenheart Games
222,Giana Sisters: Twisted Dreams,Black Forest Games
223,Guacamelee!: Gold Edition,Drinkbox Studios
